,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
568,Phoenix Suns*,55,27,.671,2.0,110.1,105.0,5.14,2008,Western
569,Golden State Warriors,48,34,.585,9.0,111.0,108.8,2.38,2008,Western
570,Sacramento Kings,38,44,.463,19.0,102.5,104.8,-1.86,2008,Western
571,Los Angeles Clippers,23,59,.280,34.0,93.8,101.1,-6.56,2008,Western
572,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Western
573,New Orleans Hornets*,56,26,.683,—,100.9,95.6,5.46,2008,Western
574,San Antonio Spurs*,56,26,.683,—,95.4,90.6,5.10,2008,Western
575,Houston Rockets*,55,27,.671,1.0,96.7,92.0,4.83,2008,Western
576,Dallas Mavericks*,51,31,.622,5.0,100.4,95.9,4.70,2008,Western
577,Memphis Grizzlies,22,60,.268,34.0,100.7,106.9,-5.76,2008,Western
578,Boston Celtics*,62,20,.756,—,100.9,93.4,7.44,2009,Eastern
579,Philadelphia 76ers*,41,41,.500,21.0,97.4,97.3,0.16,2009,Eastern
580,New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31,2009,Eastern
581,Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54,2009,Eastern
582,New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33,2009,Eastern
583,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Eastern
584,Cleveland Cavaliers*,66,16,.805,—,100.3,91.4,8.68,2009,Eastern
585,Chicago Bulls*,41,41,.500,25.0,102.2,102.5,-0.16,2009,Eastern
586,Detroit Pistons*,39,43,.476,27.0,94.2,94.7,-0.36,2009,Eastern
587,Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76,2009,Eastern
588,Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88,2009,Eastern
589,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Eastern
590,Orlando Magic*,59,23,.720,—,101.0,94.4,6.48,2009,Eastern
591,Atlanta Hawks*,47,35,.573,12.0,98.1,96.5,1.70,2009,Eastern
592,Miami Heat*,43,39,.524,16.0,98.3,98.0,0.49,2009,Eastern
593,Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20,2009,Eastern
594,Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98,2009,Eastern
595,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Western
596,Denver Nuggets*,54,28,.659,—,104.3,100.9,3.13,2009,Western
597,Portland Trail Blazers*,54,28,.659,—,99.4,94.1,5.00,2009,Western
598,Utah Jazz*,48,34,.585,6.0,103.6,100.9,2.31,2009,Western
599,Minnesota Timberwolves,24,58,.293,30.0,97.8,102.7,-4.74,2009,Western
600,Oklahoma City Thunder,23,59,.280,31.0,97.0,103.1,-6.04,2009,Western
601,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Western
602,Los Angeles Lakers*,65,17,.793,—,106.9,99.3,7.11,2009,Western
603,Phoenix Suns,46,36,.561,19.0,109.4,107.5,1.62,2009,Western
604,Golden State Warriors,29,53,.354,36.0,108.6,112.3,-3.80,2009,Western
605,Los Angeles Clippers,19,63,.232,46.0,95.1,103.9,-8.47,2009,Western
606,Sacramento Kings,17,65,.207,48.0,100.6,109.3,-8.60,2009,Western
607,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Western
608,San Antonio Spurs*,54,28,.659,—,97.0,93.3,3.36,2009,Western
609,Houston Rockets*,53,29,.646,1.0,98.4,94.4,3.73,2009,Western
610,Dallas Mavericks*,50,32,.610,4.0,101.7,99.8,1.68,2009,Western
611,New Orleans Hornets*,49,33,.598,5.0,95.8,94.3,1.41,2009,Western
612,Memphis Grizzlies,24,58,.293,30.0,93.9,99.3,-5.23,2009,Western
613,Boston Celtics*,50,32,.610,—,99.2,95.6,3.37,2010,Eastern
614,Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,2010,Eastern
615,New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,2010,Eastern
616,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,2010,Eastern
617,New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,2010,Eastern
618,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Eastern
619,Cleveland Cavaliers*,61,21,.744,—,102.1,95.6,6.17,2010,Eastern
620,Milwaukee Bucks*,46,36,.561,15.0,97.7,96.0,1.37,2010,Eastern
621,Chicago Bulls*,41,41,.500,20.0,97.5,99.1,-1.64,2010,Eastern
622,Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,2010,Eastern
623,Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,2010,Eastern
624,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Eastern
625,Orlando Magic*,59,23,.720,—,102.8,95.3,7.12,2010,Eastern
626,Atlanta Hawks*,53,29,.646,6.0,101.7,97.0,4.44,2010,Eastern
627,Miami Heat*,47,35,.573,12.0,96.5,94.2,1.99,2010,Eastern
628,Charlotte Bobcats*,44,38,.537,15.0,95.3,93.8,1.30,2010,Eastern
629,Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,2010,Eastern
630,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Western
631,Denver Nuggets*,53,29,.646,—,106.5,102.4,4.15,2010,Western
632,Utah Jazz*,53,29,.646,—,104.2,98.9,5.33,2010,Western
633,Portland Trail Blazers*,50,32,.610,3.0,98.1,94.8,3.18,2010,Western
634,Oklahoma City Thunder*,50,32,.610,3.0,101.5,98.0,3.55,2010,Western
635,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,-9.06,2010,Western
636,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Western
637,Los Angeles Lakers*,57,25,.695,—,101.7,97.0,4.78,2010,Western
638,Phoenix Suns*,54,28,.659,3.0,110.2,105.3,4.67,2010,Western
639,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,-6.01,2010,Western
640,Golden State Warriors,26,56,.317,31.0,108.8,112.4,-3.28,2010,Western
641,Sacramento Kings,25,57,.305,32.0,100.0,104.4,-4.06,2010,Western
642,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Western
643,Dallas Mavericks*,55,27,.671,—,102.0,99.3,2.66,2010,Western
644,San Antonio Spurs*,50,32,.610,5.0,101.4,96.3,5.07,2010,Western
645,Houston Rockets,42,40,.512,13.0,102.4,102.7,-0.02,2010,Western
646,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,-1.39,2010,Western
647,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,-2.27,2010,Western
648,Boston Celtics*,56,26,.683,—,96.5,91.1,4.83,2011,Eastern
649,New York Knicks*,42,40,.512,14.0,106.5,105.7,0.48,2011,Eastern
